100000,1,11460
100000,2,11464
100000,3,11460
100000,4,11460
100000,5,11460
110000,1,12332
110000,2,12328
110000,3,12328
110000,4,12332
110000,5,12332
120000,1,13192
120000,2,13192
120000,3,13192
120000,4,13196
120000,5,13192
130000,1,14064
130000,2,14060
130000,3,14060
130000,4,14064
130000,5,14060
140000,1,14932
140000,2,14928
140000,3,14928
140000,4,14928
140000,5,14928
150000,1,15792
150000,2,15792
150000,3,15792
150000,4,15792
150000,5,15792
160000,1,16656
160000,2,16660
160000,3,16660
160000,4,16656
160000,5,16656
170000,1,17532
170000,2,17528
170000,3,17528
170000,4,17532
170000,5,17528
180000,1,18392
180000,2,18396
180000,3,18392
180000,4,18396
180000,5,18396
190000,1,19264
190000,2,19260
190000,3,19264
190000,4,19264
190000,5,19264
200000,1,20132
200000,2,20128
200000,3,20128
200000,4,20128
200000,5,20132
210000,1,20992
210000,2,20996
210000,3,20992
210000,4,20992
210000,5,20996
220000,1,21860
220000,2,21860
220000,3,21860
220000,4,21864
220000,5,21864
230000,1,22728
230000,2,22732
230000,3,22732
230000,4,22728
230000,5,22728
240000,1,23596
240000,2,23596
240000,3,23596
240000,4,23596
240000,5,23596
250000,1,24464
250000,2,24460
250000,3,24460
250000,4,24464
250000,5,24464
260000,1,25332
260000,2,25336
260000,3,25332
260000,4,25336
260000,5,25336
270000,1,26196
270000,2,26196
270000,3,26200
270000,4,26196
270000,5,26200
280000,1,27060
280000,2,27064
280000,3,27064
280000,4,27064
280000,5,27064
290000,1,27932
290000,2,27936
290000,3,27936
290000,4,27936
290000,5,27932
300000,1,28796
300000,2,28796
300000,3,28800
300000,4,28796
300000,5,28796
310000,1,29668
310000,2,29668
310000,3,29668
310000,4,29664
310000,5,29668
320000,1,30536
320000,2,30536
320000,3,30532
320000,4,30532
320000,5,30532
330000,1,31420
330000,2,31416
330000,3,31416
330000,4,31420
330000,5,31420
340000,1,32268
340000,2,32264
340000,3,32264
340000,4,32268
340000,5,32264
350000,1,33136
350000,2,33132
350000,3,33132
350000,4,33132
350000,5,33132
360000,1,34008
360000,2,34004
360000,3,34008
360000,4,34008
360000,5,34008
370000,1,34864
370000,2,34868
370000,3,34864
370000,4,34868
370000,5,34864
380000,1,35732
380000,2,35732
380000,3,35732
380000,4,35736
380000,5,35736
390000,1,36596
390000,2,36596
390000,3,36600
390000,4,36596
390000,5,36600
400000,1,37464
400000,2,37464
400000,3,37468
400000,4,37464
400000,5,37468
410000,1,38332
410000,2,38336
410000,3,38332
410000,4,38332
410000,5,38336
420000,1,39208
420000,2,39204
420000,3,39204
420000,4,39204
420000,5,39208
430000,1,40068
430000,2,40072
430000,3,40072
430000,4,40068
430000,5,40068
440000,1,40936
440000,2,40932
440000,3,40932
440000,4,40936
440000,5,40936
450000,1,41804
450000,2,41800
450000,3,41804
450000,4,41800
450000,5,41800
460000,1,42664
460000,2,42664
460000,3,42664
460000,4,42664
460000,5,42668
470000,1,43536
470000,2,43536
470000,3,43536
470000,4,43536
470000,5,43536
480000,1,44396
480000,2,44396
480000,3,44396
480000,4,44400
480000,5,44396
490000,1,45264
490000,2,45268
490000,3,45264
490000,4,45264
490000,5,45264
500000,1,46128
500000,2,46132
500000,3,46132
500000,4,46128
500000,5,46132
510000,1,47000
510000,2,46996
510000,3,46996
510000,4,47000
510000,5,46996
520000,1,47868
520000,2,47864
520000,3,47868
520000,4,47868
520000,5,47868
530000,1,48732
530000,2,48732
530000,3,48728
530000,4,48728
530000,5,48728
540000,1,49600
540000,2,49596
540000,3,49596
540000,4,49596
540000,5,49600
550000,1,50464
550000,2,50468
550000,3,50464
550000,4,50468
550000,5,50464
560000,1,51336
560000,2,51340
560000,3,51336
560000,4,51340
560000,5,51336
570000,1,52200
570000,2,52200
570000,3,52200
570000,4,52200
570000,5,52200
580000,1,53068
580000,2,53072
580000,3,53068
580000,4,53072
580000,5,53072
590000,1,53936
590000,2,53936
590000,3,53936
590000,4,53936
590000,5,53936
600000,1,54800
600000,2,54800
600000,3,54800
600000,4,54800
600000,5,54800
