# ./benchmark --bfs --from 200 --step 400 --count 12 ./tests/mock-data/large-names.csv /dev/null 2>bfs-benchmark.csv
200,213.274
600,663.346
1000,1135.67
1400,1608.41
1800,2070.82
2200,2545.76
2600,3021.18
3000,3607.73
3400,4092.88
3800,4503.31
4200,4972.81
4600,5585.98
